emoji,name,cos_sim_cad,cos_sim_prompt
🌻,sunflower,0.193989,0.305739
🌸,cherry_blossom,0.191335,0.318348
🌼,blossom,0.190628,0.303858
💫,dizzy,0.189444,0.167739
🎅🏾,Santa_Claus_medium-dark_skin_tone,0.186942,0.265870
🌺,hibiscus,0.186568,0.325904
🌷,tulip,0.185928,0.296202
🧡,orange_heart,0.180375,0.156083
💏🏾,kiss_medium-dark_skin_tone,0.179700,0.182378
🍒,cherries,0.179344,0.204335
💏🏽,kiss_medium_skin_tone,0.176907,0.226662
🌹,rose,0.176854,0.266737
✨,sparkles,0.176735,0.119774
💐,bouquet,0.176703,0.272997
🌈,rainbow,0.176290,0.279222
🌟,glowing_star,0.176037,0.126055
👋🏾,waving_hand_medium-dark_skin_tone,0.175159,0.174594
🐻,bear,0.173398,0.253649
🙏🏻,folded_hands_light_skin_tone,0.172895,0.233450
💪🏾,flexed_biceps_medium-dark_skin_tone,0.172612,0.219986
💪🏻,flexed_biceps_light_skin_tone,0.172259,0.239726
🍈,melon,0.171868,0.251295
🍀,four_leaf_clover,0.171039,0.091155
🦩,flamingo,0.170281,0.287733
🎀,ribbon,0.170074,0.193467
🤝🏾,handshake_medium-dark_skin_tone,0.169925,0.123481
💅🏾,nail_polish_medium-dark_skin_tone,0.169442,0.156954
💪🏽,flexed_biceps_medium_skin_tone,0.169080,0.231449
🎊,confetti_ball,0.169026,0.201163
🙌🏾,raising_hands_medium-dark_skin_tone,0.169007,0.149777
🙌🏻,raising_hands_light_skin_tone,0.168404,0.194263
💏🏼,kiss_medium-light_skin_tone,0.168063,0.223803
👋🏽,waving_hand_medium_skin_tone,0.167343,0.176504
💦,sweat_droplets,0.167258,0.198005
🍐,pear,0.167019,0.220683
🍄,mushroom,0.166852,0.218986
🍩,doughnut,0.166504,0.260244
💅🏽,nail_polish_medium_skin_tone,0.166408,0.183717
🕺🏻,man_dancing_light_skin_tone,0.165303,0.178766
💃🏼,woman_dancing_medium-light_skin_tone,0.164869,0.109593
🤌🏾,pinched_fingers_medium-dark_skin_tone,0.164452,0.192981
🎆,fireworks,0.164254,0.102532
💜,purple_heart,0.164161,0.151167
💪🏼,flexed_biceps_medium-light_skin_tone,0.163774,0.236015
👋🏻,waving_hand_light_skin_tone,0.163192,0.164822
🎉,party_popper,0.162311,0.208789
🍫,chocolate_bar,0.161917,0.279057
🐪,camel,0.161741,0.249385
💪,flexed_biceps,0.161625,0.199503
🐑,ewe,0.161181,0.178449
🤝🏽,handshake_medium_skin_tone,0.161122,0.167474
🦜,parrot,0.159887,0.177174
💃🏽,woman_dancing_medium_skin_tone,0.159809,0.077756
🍃,leaf_fluttering_in_wind,0.159083,0.225950
🙌🏽,raising_hands_medium_skin_tone,0.158838,0.192016
👏🏻,clapping_hands_light_skin_tone,0.158238,0.128425
💗,growing_heart,0.158009,0.247645
🎅🏽,Santa_Claus_medium_skin_tone,0.157986,0.290350
💏🏻,kiss_light_skin_tone,0.157680,0.227495
👋🏼,waving_hand_medium-light_skin_tone,0.157454,0.173155
🙏🏼,folded_hands_medium-light_skin_tone,0.156863,0.236217
🍇,grapes,0.156667,0.244312
🙏🏾,folded_hands_medium-dark_skin_tone,0.156280,0.169098
🦄,unicorn,0.155281,0.255593
🙌🏼,raising_hands_medium-light_skin_tone,0.155176,0.207945
🧚🏾,fairy_medium-dark_skin_tone,0.153967,0.198310
🙏🏽,folded_hands_medium_skin_tone,0.153792,0.220989
🙌,raising_hands,0.153333,0.146060
🍪,cookie,0.152832,0.254798
🧚🏻,fairy_light_skin_tone,0.152772,0.246754
🧄,garlic,0.152709,0.105460
🤌🏽,pinched_fingers_medium_skin_tone,0.152258,0.219326
🤌🏻,pinched_fingers_light_skin_tone,0.151860,0.214567
🐼,panda,0.151785,0.287311
🧚🏽,fairy_medium_skin_tone,0.150495,0.236989
🐝,honeybee,0.150252,0.260532
🤌,pinched_fingers,0.150137,0.198428
🦋,butterfly,0.150136,0.295733
💅🏼,nail_polish_medium-light_skin_tone,0.150057,0.214439
🍧,shaved_ice,0.149444,0.257379
🫸,rightwards_pushing_hand,0.149134,0.137896
🍮,custard,0.148807,0.260892
